Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.235,0.0956440122303464,0.43104025205376,114.74609375,-62.5642244751171,-82.8435277872323
0.236,0.0753644195766238,0.551807005683685,115.234375,-61.7112796334534,-80.1847368337192
0.237,0.0493159858732361,0.653923067505545,115.72265625,-59.3111844272252,-82.1954861165776
0.238,0.0250419982897964,0.743050097294562,116.2109375,-56.8410571847412,-82.289103146556
0.239,0.00797177054033791,0.813061031660169,116.69921875,-55.2283601896989,-79.6631373823676
0.24,-0.000207055542760765,0.844135209930391,117.1875,-55.0384423899637,-78.1543361798733
0.241,-0.0017874699222265,0.809617921372517,117.67578125,-57.7690372993082,-79.7475321222919
0.242,-0.00180377825452385,0.688382803263015,118.1640625,-59.4072968214927,-83.3245543385642
0.243,-0.00573847660942886,0.476792423091563,118.65234375,-59.1168088211634,-84.8477483215915
0.244,-0.0170111454999227,0.194443981057828,119.140625,-59.1281277710548,-83.8947691038064
0.245,-0.0352340312612599,-0.119379983969698,119.62890625,-58.3852258801148,-81.1956821683665
0.246,-0.0559839751061744,-0.41732299494723,120.1171875,-57.4830930385929,-80.7171695510843
0.247,-0.0722576494179277,-0.658431947354136,120.60546875,-57.8892547561493,-81.4276621501178
0.248,-0.0770913349732289,-0.81884756369535,121.09375,-58.7824471352161,-83.1926811357752
0.249,-0.066351966412553,-0.894197339952577,121.58203125,-60.2550730543679,-84.0515714684474
0.25,-0.0406253214408231,-0.893871749542175,122.0703125,-61.5479789218989,-85.6825625139715
0.251,-0.00543598485856236,-0.831735737252399,122.55859375,-60.7409010703587,-85.1213908035916
0.252,0.0303782479628359,-0.719063436105713,123.046875,-59.0598821854307,-84.3641270413166
0.253,0.0576123141450913,-0.563025369921386,123.53515625,-58.0557126790703,-84.8489352414576
0.254,0.0698597591496735,-0.370077596560726,124.0234375,-57.1890783045682,-85.8118480391584
0.255,0.0656378151694773,-0.150907917675688,124.51171875,-56.0159304863673,-85.0393383504974
0.256,0.0486188083953978,0.0766869382573193,125,-57.0778495403033,-85.9403107553867
0.257,0.0259294290007509,0.289008280065939,125.48828125,-59.2667535934017,-91.0806793031092
0.258,0.00528731386636748,0.461307454138561,125.9765625,-61.753455690117,-95.0182492559015
0.259,-0.00783695926821863,0.573841163415956,126.46484375,-61.5531059919107,-90.5339375851614
0.26,-0.0119488852766942,0.616346212546899,126.953125,-60.9065237989157,-88.5511480152589
0.261,-0.00957639956908215,0.589587461942965,127.44140625,-62.5667298648947,-89.529346473297
0.262,-0.00573232943792494,0.504572751373446,127.9296875,-61.0513177131462,-90.3020318305623
0.263,-0.00548283917587815,0.380804451001502,128.41796875,-57.7164768485863,-92.219266416739
0.264,-0.0116334180155923,0.243944423688564,128.90625,-60.5117375640502,-94.1951360610624
0.265,-0.0234753379006358,0.121752191025383,129.39453125,-64.0548830253036,-94.280676903073
0.266,-0.0370753221596461,0.037307578795326,129.8828125,-64.3152917028133,-93.2448966910962
0.267,-0.0469261160385915,0.00105995600263659,130.37109375,-64.5112008147526,-91.2317509619475
0.268,-0.04822122281302,0.00598912211900888,130.859375,-61.6995835727741,-90.7025240266017
0.269,-0.0388192595360692,0.0299764019186054,131.34765625,-62.9719559907884,-91.6210692574311
0.27,-0.0201555694875993,0.0456242452069627,131.8359375,-62.1156897810815,-92.7709598310175
0.271,0.00320006572624402,0.0328477001745623,132.32421875,-60.4491719814786,-92.562103644696
0.272,0.02513724101716,-0.0126529375015085,132.8125,-61.031917581081,-92.91126227606
0.273,0.0401352157160841,-0.0795838560491156,133.30078125,-63.4645228273103,-94.3965728644425
0.274,0.0451099204487318,-0.149104665095137,133.7890625,-63.9181740346467,-96.9011469252175
0.275,0.040252188409099,-0.205399807046387,134.27734375,-60.0747314775311,-95.003284251131
0.276,0.028543982379514,-0.242761017786071,134.765625,-57.8822919032317,-96.2900045704922
0.277,0.0142316599291311,-0.266097662183288,135.25390625,-59.5144747833805,-96.620266857083
0.278,0.00101297835248033,-0.28564027789201,135.7421875,-61.0996368983578,-97.9190586262917
0.279,-0.009222304262907,-0.309042774959959,136.23046875,-62.2960625673747,-97.0533727000293
0.28,-0.0166137115263993,-0.334752887924291,136.71875,-61.6498159311598,-95.8455905389347
0.281,-0.0225846284791979,-0.350018495648797,137.20703125,-59.8437267736272,-94.7005514449637
0.282,-0.0286259438449688,-0.335260554368299,137.6953125,-59.6914318037442,-93.5518878269278
0.283,-0.0352138350345356,-0.273552236033172,138.18359375,-60.7847872025507,-95.4597773320365
0.284,-0.0413075766012875,-0.160733511471148,138.671875,-64.0517132984306,-98.7942147978386
0.285,-0.0446010260531224,-0.0106131306484215,139.16015625,-63.1930119735878,-99.5053954636755
0.286,-0.0424236763909349,0.147983119574868,139.6484375,-61.7823538356171,-98.0337628733831
0.287,-0.0329460772658097,0.281128999821627,140.13671875,-60.3518498878319,-97.3392193985596
0.288,-0.0162020787993109,0.361730908946083,140.625,-61.2347140746164,-100.618817819892
0.289,0.00551344069494561,0.377839400189446,141.11328125,-65.2831651050893,-100.717379872393
0.29,0.0280681223219361,0.334432055459617,141.6015625,-65.4873682283389,-98.9401956276007
0.291,0.0466141896194989,0.249705867223464,142.08984375,-62.9823335421678,-98.2436304153695
0.292,0.0570416458202898,0.149017804308371,142.578125,-62.6808320205401,-99.7692032848338
0.293,0.0572852200401477,0.0588691263048375,143.06640625,-63.7054521567776,-101.160960631101
0.294,0.0480314354600182,0.00157983596894879,143.5546875,-64.0444279160289,-100.177156611143
0.295,0.0325387334896136,-0.00936408415078865,144.04296875,-65.2505424649677,-101.79011370949
