Time_s,GT_Amplitude,Measured_Amplitude,Frequency_Hz,GT_PSD_dBHz,Measured_PSD_dBHz
0.225,-1.90181073767249,-0.161395618080039,27.4658203125,-47.2776979155825,-56.3319906399298
0.226,-2.21983698770269,-0.17988268790934,27.587890625,-50.364847262095,-59.558128622877
0.227,-2.51912982340862,-0.207849068442592,27.7099609375,-48.6643309483527,-60.080221172345
0.228,-2.77162182662527,-0.240878448393781,27.83203125,-50.2873464035023,-59.5215983820621
0.229,-2.95514455387013,-0.274772845006007,27.9541015625,-47.9070023978848,-58.3477742907429
0.23,-3.05523672946685,-0.305851700481762,28.076171875,-48.5099681715967,-60.1441539164409
0.231,-3.06614937968649,-0.331140622692065,28.1982421875,-47.5466383385291,-59.1841378909625
0.232,-2.99097842521659,-0.348496348494446,28.3203125,-47.7189313937679,-58.8880019773731
0.233,-2.84094054010891,-0.356722784124185,28.4423828125,-47.9733286294156,-57.8385181768577
0.234,-2.63388978743901,-0.355711907892723,28.564453125,-48.6200020676903,-58.05763757038
0.235,-2.3922432245973,-0.346597630660352,28.6865234375,-49.5469943574499,-59.4233757032713
0.236,-2.14053697954732,-0.331860117296458,28.80859375,-50.7938709018521,-61.5465854452026
0.237,-1.9028653516301,-0.315287714051417,28.9306640625,-51.1751913134835,-60.9278410150811
0.238,-1.7004614083028,-0.30171273622924,29.052734375,-49.5901249682776,-59.5522767860137
0.239,-1.54965786372671,-0.296489617478538,29.1748046875,-49.1906625578941,-59.3019926982124
0.24,-1.46042375412954,-0.304762328621337,29.296875,-49.4461164902964,-58.8712425573459
0.241,-1.43560994574643,-0.330640053261812,29.4189453125,-50.7081483883428,-59.5703845258588
0.242,-1.47096129051029,-0.376435289052415,29.541015625,-49.3208385332564,-58.1620498212562
0.243,-1.5558733267563,-0.442107646352294,29.6630859375,-50.4855506938741,-60.8990676390874
0.244,-1.67479553146876,-0.525015306763688,29.78515625,-54.2403225283478,-62.8642116034409
0.245,-1.80911931950607,-0.620026888809831,29.9072265625,-51.7251954917776,-61.2443417263468
0.246,-1.93934329402681,-0.71999831733868,30.029296875,-49.9197817962752,-60.7856612947736
0.247,-2.04728418865875,-0.816567823512569,30.1513671875,-50.3700994695942,-61.0219376826531
0.248,-2.11810088081958,-0.901167026792583,30.2734375,-46.9047678146631,-58.8225518802275
0.249,-2.14192060579282,-0.966100255421276,30.3955078125,-45.835830188167,-57.8346411341486
0.25,-2.114899352038,-1.00552427862812,30.517578125,-46.0107511356269,-58.2863704640108
0.251,-2.03960868283296,-1.01617338578649,30.6396484375,-47.2153904430367,-58.4695016136658
0.252,-1.92471296185967,-0.997718675292323,30.76171875,-49.9543755240299,-59.1313133563382
0.253,-1.7839764785877,-0.952719964212146,30.8837890625,-50.4148720515882,-59.6569459496904
0.254,-1.63471100799922,-0.886209458562451,31.005859375,-50.8208815878715,-61.6511845588039
0.255,-1.49583320993849,-0.805012533324664,31.1279296875,-51.3870743794155,-61.2907365058041
0.256,-1.38574174785137,-0.716939419749169,31.25,-49.0070480853714,-61.4064258473739
0.257,-1.32024194119147,-0.62996897177191,31.3720703125,-49.3405448388427,-60.794491338069
0.258,-1.31073950770393,-0.551509452783567,31.494140625,-50.2434653043651,-59.8712587591609
0.259,-1.36289552780745,-0.487782834971387,31.6162109375,-49.2315569279965,-60.4215493349814
0.26,-1.47588569480396,-0.443348098304774,31.73828125,-46.7012873013248,-59.215236098748
0.261,-1.64234359582868,-0.420756216471634,31.8603515625,-47.3595559491878,-59.7445352927728
0.262,-1.84899671465638,-0.420320151491236,31.982421875,-51.1322094223194,-59.6848026342586
0.263,-2.07793209306508,-0.439996459267235,32.1044921875,-49.6210814478854,-58.663725194865
0.264,-2.3083631896728,-0.475406697921277,32.2265625,-49.1627970492376,-60.0052233770887
0.265,-2.51871701509174,-0.520051524180239,32.3486328125,-47.5709623458343,-60.3634720339438
0.266,-2.68882662254576,-0.565762870225811,32.470703125,-47.2451112445319,-59.8754907414502
0.267,-2.80200229370215,-0.603400398952025,32.5927734375,-47.1815502883741,-59.5617832614691
0.268,-2.84676680535481,-0.623749816070828,32.71484375,-49.7775462808249,-59.5531466464985
0.269,-2.81807493670386,-0.618539209898364,32.8369140625,-47.4641867945343,-58.2888456436795
0.27,-2.71789116502511,-0.58145596777536,32.958984375,-45.6370896481948,-58.2687535798851
0.271,-2.55506618016958,-0.509022961644027,33.0810546875,-50.2449120149811,-63.8829151537162
0.272,-2.34452461100047,-0.401193194381487,33.203125,-54.8834453520526,-63.0102481238152
0.273,-2.10584491559731,-0.261558897159913,33.3251953125,-52.5644404723612,-62.927240500528
0.274,-1.86137063559784,-0.0971360620928688,33.447265625,-49.656053855531,-59.7666881183806
0.275,-1.6340355660946,0.0822439047388066,33.5693359375,-47.1620765123639,-57.4234258590661
0.276,-1.44511175635216,0.264846399875889,33.69140625,-48.5468987203626,-58.2987913949768
0.277,-1.31209770039077,0.438125740638209,33.8134765625,-48.7800922069127,-58.0520355997623
0.278,-1.24695362129811,0.589863931381761,33.935546875,-47.2057121880984,-58.5092763895007
0.279,-1.25486065734126,0.709237610332079,34.0576171875,-48.060289650066,-58.0862678594576
0.28,-1.33363207639531,0.787723737828442,34.1796875,-48.9412612822847,-59.9538107130431
0.281,-1.47384146259046,0.819783865270646,34.3017578125,-47.2654943280071,-57.5229040071848
0.282,-1.65966189196722,0.803289313766179,34.423828125,-45.0004938334087,-56.2951420696108
0.283,-1.87033934411299,0.739669756616285,34.5458984375,-46.4412831515704,-58.8634725100634
0.284,-2.08216059605778,0.633792200573412,34.66796875,-46.4447539853259,-57.5587612351915
0.285,-2.27072712056689,0.493601963691124,34.7900390625,-47.7526934042191,-59.6845785314417
